,Category,Resume,city,job_title,company_name,location,summary,salary
449,Resume,"Skills: â¢ ETL â¢ Data Warehousing â¢ SQL/PL SQL â¢ Basic Core Java â¢ Basic Python Tools: â¢ SAP BODS â¢ SAP BO â¢ Oracle 11g â¢ Sybase Education Details 
August 2008 to July 2012 Bachelor of Engineering Navi Mumbai Panvel, Maharashtra Mumbai University
June 2006 to May 2007 B.E Computer Engineering Navi Mumbai, Maharashtra Ryan International School
SAP BO/BODS Developer/Administrator, Tata Consultancy Services Limited 

SAP BP/BODS Developer/Administrator, Tata Consultancy - SAP BODS
Skill Details 
DATA WAREHOUSING- Exprience - 6 months
SAP BO ADMIN- Exprience - Less than 1 year months
SAP BODS- Exprience - Less than 1 year months
ETL- Exprience - Less than 1 year months
BASIC CORE JAVA- Exprience - Less than 1 year months
SAP BO- Exprience - Less than 1 year months
SAP BODS ADMIN- Exprience - Less than 1 year months
BASIC PYTHON- Exprience - Less than 1 year monthsCompany Details 
company - SAP BODS
description - â¢ 
Client: Royal Bank of Canada

â¢ Developed BODS jobs and created/modified packages during migration from Sybase to Oracle Database.
â¢ Taking up regular performance enhancement activities by co-coordinating with other teams like database team, Server Team, Data Center team to identify bottlenecks in the running of jobs.
â¢ Developed BODS jobs to fetch data from SAP R3 using various data transfer modes.
â¢ Implemented Central repositories to move jobs seamlessly in multi-developer environment
company - Tata Consultancy Services Limited
description - â¢ Installed and configured all the five environments of BO 4.0 and BODS 4.0/4.2 (DEV/QA/PROD/Standby/DR) with Apache and Tomcat as web and app servers on windows
â¢ Loading dataÂ received from various source systems like TCS BaNCS, SAP R3, LOS, Credence and flat files using SCD1 and SCD2 to Data Warehouse to generate consolidated reports.
â¢ Developed BODS jobs to fetch data from SAP R3 using various data transfer modes.Â 
â¢ Implemented Central repositories to move jobs seamlessly in multi-developer environment.
â¢ Configuration and creation of BODS repositories using Repository Manager and Sever Manager
â¢ Used Formats and Transforms including Flat File formats, Query, Table Comparison, History Preserving, Validation Transform, Key Generation and Map Operation
â¢ Â Deployed BODS in Active-Active mode using server groups to improve performance and availability of the system
â¢ Using BO Java SDK to build custom java programs to automate various administration tasks and fetching metadata about BO system.
â¢ Implemented BO Mobile and used wdeploy to separate static and dynamic contents into web server and web application.
â¢ Developed audit reports in web Intelligence using audit universe to gather information about the usage of various reports in the BO system.
â¢ Â Implemented and deployed features like Trusted authentication,VintelaÂ sso to make application easy to use for end users.
â¢ Daily administrator tasks involved migration of resources from one environment to another, publication creation and monitoring, troubleshooting any issues with the application and monitoring the application through the tools available to ensure that the application is up and available round the clock.
â¢ Have been involved in testing of backup systems in Standby and DR to make sure that application continue to service business users in case the primary systems are down.
company - Tata Consultancy Services Limited
description - Client: Tata Capital Financial Services Limited

â¢ Installed and configured all the five environments of BO 4.0 and BODS 4.0/4.2
â¢ (DEV/QA/PROD/Standby/DR) with Apache and Tomcat as web and app servers on windows.
â¢ Loading data received from various source systems like TCS BaNCS, SAP R3, LOS, Credence and flat files using SCD1 and SCD2 to Data Warehouse to generate consolidated reports.
â¢ Configuration and creation of BODS repositories using Repository Manager and Sever Manager.
â¢ Used Formats and Transforms including Flat File formats, Query, Table Comparison, History
â¢ Preserving, Validation Transform, Key Generation and Map Operation.
â¢ Deployed BODS in Active-Active mode using server groups to improve performance and availability of the system.
â¢ Using BO Java SDK to build custom java programs to automate various administration tasks and fetching metadata about BO system.
â¢ Implemented BO Mobile and used wdeploy to separate static and dynamic contents into web server and web application.
â¢ Developed audit reports in web Intelligence using audit universe to gather information about the usage of various reports in the BO system.
â¢ Implemented and deployed features like Trusted authentication, Vintela sso to make application easy to use for end users.
â¢ Daily administrator tasks involved migration of resources from one environment to another,publication creation and monitoring, troubleshooting any issues with the application and monitoring the application through the tools available to ensure that the application is up and available round the clock.
â¢ Have been involved in testing of backup systems in Standby and DR to make sure that application continue to service business users in case the primary systems are down.",,,,,,
88,Resume,"SKILLS â¢ Knows English as native speaker (IELTS Overall 8; Listening 8, Reading 8, Writing 7 and Speaking 8.5); Hindi with bilingual proficiency and Punjabi as native speaker. â¢ Able to communicate clearly and concisely with people of diverse backgrounds and levels of authority. â¢ Exceptional knowledge of administrative procedures, evidence rules and trials. â¢ Can maintain a professional attitude with peers, co-workers and clients at all times. â¢ Focused and driven to always meet deadlines for pretrial procedures, trials and appellate briefings by effectively utilizing resources. â¢ A Microsoft Certified Systems Engineer (2008) and very much Competent in Windows and Word processing software Education Details 
July 2009 to May 2012 Bachelor's Laws Bikaner, Rajasthan Maharaja Ganga Singh University
August 2008 to November 2008 Microsoft Certified Systems Engineer Networking Chandigarh 
July 2005 to April 2008 Bachelor's of Science Bio-Informatics Chandigarh, Chandigarh Panjab University
Advocate 

Newcomer Indian Advocate
Skill Details 
Administration- Exprience - 72 months
Legal Research- Exprience - 72 months
Microsoft Office- Exprience - 72 months
Drafting- Exprience - 72 monthsCompany Details 
company - District Courts
description - Key Features

â¢ Licensed Advocate in practice from 16-Aug-2012 (Bar Council of Punjab & Haryana, Chandigarh).
â¢ Admitted to practice at District Courts, Mansa since 18-Aug-2012.
â¢ Successfully passed the All India Bar Examination (AIBE) conducted by Bar Council of India (BCI) in September, 2013.
â¢ Lead/Sole Counsel for plaintiff and respondents in number of criminal/civil trials.
â¢ Since 2012, have prepared and prosecuted to conclusion, either by trial or settlement, number of claim cases involving personal injury or death cases.
â¢ Working on the Panel of District Legal Services Authority, Mansa run under the supervision of National Legal Services Authority, India.
â¢ Former Co-Opted Member Administrative Committee, Punjab.
â¢ Former Joint Secretary at District Bar Association, Mansa (2017-18).

Job Duties

â¢ Advice clients of their legal rights and all matters related to law.
â¢ Plead clients' cases which include various International companies, before courts of law, forums, tribunals and boards.
â¢ Researching legal precedents, gathering evidence and trials of criminal, Injury and death compensation claims and others.
â¢ Draw up legal documents such as bail petitions, appeals, divorces and contracts etc.
â¢ Negotiates settlements of civil disputes.
â¢ Act as mediator, conciliator, local commissioner or arbitrator as per Court orders
â¢ Managing a private practice for more than 6 years, including all aspects of administration and management functions, controlling costs and achieving objectives related to the practice of law.",,,,,,
662,Resume,"Technical Expertise: â¢ Cisco ASA, Checkpoint firewall (GAIA, Splat), Palo Alto firewalls â¢ Firewall management tools: Cisco security management (CSM), Checkpoint Smart center, Palo Alto Panorama â¢ F5 load balancer (LTM) â¢ Networking Hands on Cisco Router and Cisco Switches, â¢ Security Management & Event Management: RSAEnvision 4.1, â¢ Ticketing tools - BMC Remedy, Service-now Other Technologies: Software languages: Python, VB ScriptingEducation Details 
January 2006 to January 2010 Bachelor of Engineering Information Technology Mumbai, Maharashtra Mumbai University
Senior Network security Analyst 

Senior Network security Analyst - Accenture
Skill Details 
FIREWALLS- Exprience - 97 months
CISCO- Exprience - 89 months
SECURITY- Exprience - 72 months
FIREWALL- Exprience - 45 months
CHECKPOINT- Exprience - 44 monthsCompany Details 
company - Accenture
description - Install, configure, upgrades and troubleshoot Cisco ASA firewalls ( 5500-X)  which includes Single and multi-context firewalls
â¢ F5 LTM  configuration (VIP, pools), SSL offloading, certificate renewals, Code upgrade and troubleshoot issues
â¢ Pulse secure (Juniper)  management includes creating Roles/ Realm, polices   for remote access, reverse proxy and Code upgrade
â¢ PAC file configuration
â¢ Preparing design documents (HLD, LLD), IP Schema and Configuration of all network devices as per customer requirements in data center environment
â¢ Incident Management, Change management, Problem Management ( ITIL process)
â¢ Key projects- Worked on resiliency project like firewall policy lockdown. Software code upgrade on all firewalls and load balancers. End to end co-ordination for firewall deployment
â¢ Tools: Cisco security manager 4.x
company - Zensar Technologies
description - Install, Upgrades Checkpoint firewalls GAIA R75, R77 and policy deployment
â¢ Troubleshoot checkpoint firewalls, Palo alto firewall and Cisco ASA's for multiple sites belongs to US, Canada and EMEA region.
â¢ Configure, upgrades, troubleshoot Cisco Routers ( Cisco 29xx, 28xx, 19xx) and Cisco switches (2960, 3560) and Cisco Meraki AP in Meraki Cloud
â¢ F5 LTM configuration and troubleshooting the operational issues
company - Infosys Technologies
description - Responsibilities:
â¢ Install, configure, upgrade and troubleshoot checkpoint firewalls, Cisco Routers, Switches
â¢ Configure, monitor and troubleshoot issues within organization LAN, WAN and customer
Connectivity networks.
â¢ Interface with vendors and service providers ensuring that hardware or software problems were dealt with efficiently and effectively, with minimal downtime
company - HCL-Comnet
description - Responsibilities:
â¢ Event moitoring and administration of RSA enVision 4.1 SIEM.
â¢ Proficient in researching traffic patterns to identify false-positives and/or malicious traffic within IDS, IPS, scanners (Qualis) and firewalls.
â¢ Experience in writing correlation rules, parsers & developing UDS for unsupported device logs.
â¢ analyze a large volume of security events while maintaining a high quality of analysis
â¢ Change Configuration Management exposure
company - Wipro Technologies
description - Administrator, Manage and troubleshoot multi-vendor Network Infrastructure consisting of Cisco, Juniper Platforms ( Cisco Router 3845, Cisco stack-wise switches 3750E and 2960 access switch, Cisco 4500 chassis, Cisco 5550/20 ASA firewalls, Juniper SA 6500 SSL VPN)
â¢ Provisioning and troubleshooting access issues related to RSA and Entrust (2FA) User Accounts.
â¢ Taking all network and security devices configuration back up on weekly and monthly basis.",,,,,,
209,Resume,"* I'm hard working person. * I'm self confident and can mould myself to all work environments.Education Details 
January 2016 B.E MECHANICAL ENGINEERING  ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY
January 2010 H.S.C.  Mumbai, Maharashtra MUMBAI UNIVERSITY Secured
January 2008 S.S.C.   PRAKASH Jr. COLLEGE OF SCIENCE & COMMERCE
    S.M.T. RAJDEVI HINDI HIGH SCHOOL
    MAHARSHTRA STATE BOARD Secured
Design Engineer (Mechanical) 


Skill Details 
Autocad, solidworks, catia- Exprience - 12 monthsCompany Details 
company - SANARCO ENGINEERING PVT LTD
description - * 1year in SANARCO ENGINEERING PVT. LTD. As a mechanical design engineer.
* Working in SURYA FITNESS as a design engineer.

Major project:
* Project based on  AUTOMATIC WALL PLASTERING MACHINE.
* Automated plastering machine is unique and perhaps one kind of automated plastering machinery ideally suitable for the construction/building industry.
* Automated plastering machine makes rendering easier, faster, and effortless as compare to manual application.
* Automated plastering machine works with conventional cement mortar which brings it to a smooth, flat finish.
* It has good future scope.

Personal Detais:
* Father's Name: Gyandatt Chauhan
*                              
*                            
*",,,,,,
265,Resume,"Education Details 
January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal high
Personal fitness trainer level3 

personal trainer
Skill Details 
Company Details 
company - Golds gym ,fitness solution,flora hotel
description - Certification : american college of sports science golds gym heart saver reps level 3

Responsibilities
To obtain a challenging position which will commensurate with my qualification and experience in the field of health and fitness environment.


Accomplishments
Good



Skills Used
Fitness",,,,,,
334,Resume,"Technical Skills (Trained / Project Acquired Skills) â¢ Languages Known: C, C++, J2EE, Spring, Hibernate. â¢ Testing: Functional Testing, Manual Testing. â¢ Operating Systems: Windows & Linux. â¢ Packages: MS-office. â¢ Databases: My SQL & PostgreSQL.Education Details 
January 2013 to January 2017 B.E Computer Science and Engineering  RTMNU University - Jhulelal Institute of Technology
January 2011 to January 2013 HSC  Nagpur, Maharashtra Maharashtra State Board - Dayanand Arya Kanya Junior College
January 2010 to January 2011 SSC  Nagpur, Maharashtra Maharashtra State Board
Java Developer 

Java Developer - Inouvelle Ventures Private Limited
Skill Details 
J2EE- Exprience - 17 months
C++- Exprience - 6 months
DATABASES- Exprience - 6 months
FUNCTIONAL TESTING- Exprience - 6 months
LINUX- Exprience - 6 monthsCompany Details 
company - Inouvelle Ventures Private Limited
description - Nagpur.
1.   Project name: Stock Management System		December 2017 - Till Date
Language of implementation: Angular (Frontend), JAVA - J2EE, spring, Hibernate Framework (Backend)
& PostgresSql Database.
Role: Java Developer
Operating system: Windows XP/07/08
Description: Stock management System is Specially Developing for the Medicinal Market. This software is developing to keep the track of medicines, ailments, surgical Equipments, & also to keep the track of Wholesalers, Retailers, Employees, & Customers of the Company. Stock management system is the practice of ordering, storing, tracking, and controlling
inventory. Debtor invoicing software helps small businesses and freelancers keep track of company assets   .. Stock
management may also be called stock control, inventory management or inventory control.
company - Inouvelle Ventures Private Limited
description - Project Profile
company - Inouvelle Ventures Private Limited
description - Language of implementation: Angular (Frontend), JAVA - J2EE, spring, Hibernate Framework (Backend)
& PostgresSql Database.
Role: Java Developer, Manual Testing.
Operating system: Windows XP/07/08
Description: This Project is done for the Oldest Printing Press in Nagpur. The proposed web based Printing Press
Management System designed according to user and system requirement to fulfil the existing problems. This system offers the products and services that enhance organization growth, efficiency, and profitability.",,,,,,
500,Resume,"Education Details 
January 2012 to January 2013 B.E. Electrical  Shivaji University
September 2008 HSC  Pune, Maharashtra Pune University
July 2006 SSC  Pune, Maharashtra Pune University
Electrical Engineer 

Electrical Engineer - R K ELECTRICAL PVT. LTD
Skill Details 
Company Details 
company - R K ELECTRICAL PVT. LTD
description - Experience:- 1 Year 3 Months

Troubleshooting and Maintenance of following Electrical Equipment:- â¢ All Type of Maintenance of Utility.
â¢ Electrical and Mechanical Maintenance.
â¢ Two 625 KVA Diesel Generator Set (Kirloskar)
â¢ HT/LT Switchgear With Protection System Using Relays and Provision For Interlocking (C&S, Kirloskar)
â¢ Handling HT Vacuum & SF6 Circuit Breaker, Transformer Up to 5000 KVA, LT Air circuit Breaker  2000A
â¢ Maintenance of STP and WTP Plant.
â¢ Maintenance of Air Blower, Actuators, Soft Starter, EOT Crane, Mono Rail, Centrifugal or Vertical Pumps, Hydraulic Machine, Rolling Machine, Lath Machine, Drill Machine, AHU, HVAC, Chiller etc.
â¢ Basic knowledge of PLC/SCADA Operation.
â¢ Trouble shooting of Switchgear and Control Panel, Pump and Motor
â¢ Maintenance of UPS, Battery Charger and Battery Bank
â¢ Motor Testing Both HT & LT Up to 450 KW
â¢ Monitoring and Controlling the 110V Control Panel and Relays Panel
â¢ Involved in Fault Finding & Relay Resetting
â¢ Monitoring and Correcting Power Factor
â¢ Service and Maintenance of Up to 55 KW Submersible Pump
â¢ Maintenance of MCC and PCC Panel
â¢ Servicing of Motor and Associated Component and Motor Operated Valve
â¢ Problem Solving of Power Contactor, Auxiliary Contactor Relay, CT and PT
â¢ Effecting Preventive/Predictive Maintenance Schedules Equipment in Order to Increase the Uptime/ Reliability
â¢ Maintenance & Operation in Day to Day Activity
â¢ Operation, Preventive Maintenance, Day to Day Breakdown Maintenance Conventional Maintaining of Log Book and Check List.
â¢ 33/22kV Main Feeder & 22/11kV Distribution Line Maint. & H.T/L.T S/S Break Down Work.

ELECTRICAL SAFETY (Knowledge of Various Aspect of Safety & Its Application)
â¢ Requirement, Familiar With Various Safety Equipment and Tools
â¢ Lockout, Tag out of Electrical Switchgear During Work
â¢ Issue of Work Permit Line Clearance to Work on Electrical Distribution Network
â¢ Requirement & Proper Usage of Protective Equipment
â¢ Accident Statistics",,,,,,
494,Resume,"Education Details 
July 2016 to May 2019 BE Electrical And Electronics Engineering Bhopal, Madhya Pradesh RGPV
July 2012 to May 2015 Diploma in Electrical Electrical Engineering Bhopal, Madhya Pradesh Rgpv university Bhopal
 Matric   GHS BHULI
Electrical Engineering 


Skill Details 
Basic Computer, Electrical Machine, Electrical wiring, Solar power Plant, Distribution Substation- Exprience - Less than 1 year monthsCompany Details 
company - Enigma Business Advisor
description - Solar Energy 
1. Solar power plant Installation
2. Maintenance 

Transmission and Distribution Line 
1.  Installation",,,,,,
630,Resume,"Skills VISA B1-VISA (USA) Onsite Visits to Sweden & US (Seattle) Education Details 
January 2013 Post Graduate Diploma Information Technology Pune, Maharashtra Symbiosis Institute
January 2007 Bachelor of Engineering Electronics and Telecommunications Pune, Maharashtra Pune University
Cloud Operations Architect (DevOps) 

Cloud Operations Architect (DevOps) - DevOps
Skill Details 
Cloud Computing- Exprience - 48 months
Shell Scripting- Exprience - 96 months
Python- Exprience - 6 months
Automation- Exprience - 72 months
Solution Architect- Exprience - Less than 1 year months
Azure- Exprience - Less than 1 year months
AWS- Exprience - Less than 1 year monthsCompany Details 
company - DevOps
description - Type: DevOps Engineer.
Platform: AWS Cloud, Azure Cloud.
Services: AWS EC2, RDS, CloudFormation Template, Lambda, Dynamo DB,		Cloud Watch, Auto-scaling, Elastic Bean stalk, Appdynamics.

Here I manage Tibco Spotfire enterprise & Cloud Product support. Being the only Ops member in India I got a chance to recruit & build entire team of 15 members. I also worked on 4 different Projects / products simultaneously and added the hired members into these products.

My responsibilities in this project include:
1. Managing Tibco Spotfire Enterprise & Cloud environment.
2. Helping India QA team with the pre-production environment for testing.
3. Coordinating production deployment & hot-fixes.
4. Leading the team and handling 4-projects.
5. Arranging workshops over new AWS services for entire Team.

Shell scripts for Automation:

â¢ Wrote shell script to extract the AWS running instances and shut it down.
â¢ Wrote shell script to extract free EIP and release those.
â¢ Wrote Lambda function to trigger important scripts.
company - Synechron Technologies Limited
description - Type: Administration, automation & Monitoring.
Platform: Linux/Unix, Linux-Xen Servers,
Software: Puppet, Redhat Satellite server, my-sql database shell scripting.

My responsibilities in this project included:
1. Managing linux media servers farms and provide application support.
2. Patching Linux physical and xen boxes.
3. Creating Satellite channels on Satellite server.
4. Automation via shell scripting and mysql DB support.
5. Troubleshooting the customized applications.
company - Tsys Limited
description - Type: Development, automation & Monitoring.
Platform: Linux/Unix, windows
Software: mysql database, shell scripting.

Here my responsibility was to provide access to the users on RHDS, Cvs and dot project servers.
It also included providing access to users on dev/prod VDI servers. Handling mysql database and shell scripting to automate the tasks.

My responsibilities in this project included:
1. Requirements and Analysis: Understanding the requirements of the project and planning the environment and the access required.
2. Implementing mysql replication over linux servers.
3. Fine tuning the existing applications.
4. Testing & debugging the scripts for any errors.
company - Patni Computer Systems Limited
description - Project: CPI
Type: Development, automation & Monitoring.
Platform: P8 Filenet, Linux/Unix, IBM AIX
Software: Sound knowledge of HTML, shell scripting.
Client: Genworth Financial
Duration: 2 yrs 2 months.
Role: Senior System Engineer

CPI is a Maintenance Project that caters to maintenance/enhancements of different applications, which are a part of Genworth Imaging Solutions. It has different applications that process the scanned Insurance documents sent from different Providers and stores the information in Oracle Database and images in P8 Filenet. It has multiple applications to generate reports to be sent to providers.

Administration Support:
â¢ Providing support to the L1 engineers.
â¢ Monitoring P8 Filenet application.
â¢ Handling Tickets raised by the users.
â¢ Administration of the 10 Linux Proxy servers and mysql servers.
â¢ Implementing mysql replication.
â¢ Checking the logs of the sites visited by the users and the data downloaded.

Mysql / Oracle / SQL Support:
â¢ Preparing SQL queries for the client users.
â¢ Handling Oracle database.
â¢ Testing insert, select, update queries over servers and deploying over production.
â¢ Handling the bugs raised by the users.
â¢ Implementing mysql replication over linux servers.
â¢ Taking database backup through mysql dump.

Application Support:
â¢ To make sure that the customer applications like eProcess, Trexo are working fine.
â¢ To make sure all the customized filenet instances are working fine.
â¢ Writing scripts to automate few of the applications.

Shell scripts for Automation:
â¢ Wrote shell script to delete the logs older than five days which was successfully deployed over Production servers.",,,,,,
596,Resume,"Technical Skills: Languages Python Python Framework Django, DRF Databases MySQL, Oracle, Sqlite, MongoDB Web Technologies CSS, HTML, RESTful Web Services REST Methodologies Agile, Scrum Version Control Github Project Managent Tool Jira Operating Systems Window, Unix Education Details 
 BE   Dr.BAMU,Aurangabad
Python Developer 

Python Developer - Arsys Inovics pvt ltd
Skill Details 
CSS- Exprience - 31 months
DJANGO- Exprience - 31 months
HTML- Exprience - 31 months
MYSQL- Exprience - 31 months
PYTHON- Exprience - 31 months
web services- Exprience - Less than 1 year months
Logger- Exprience - Less than 1 year months
Mongodb- Exprience - Less than 1 year months
json- Exprience - Less than 1 year months
Unix- Exprience - Less than 1 year months
Rest- Exprience - Less than 1 year months
Sqlit3- Exprience - Less than 1 year monthsCompany Details 
company - Arsys inovics pvt ltd
description - Project - F-MAS (Frequency Monitoring and Analysis Systems - (F-MAS))

F-MAS is a project for managing network inventory, network communication, fault management & network traffic analysis. The telecommunications service providers, are used to support a range of telecommunication services. The Operations Support Systems (OSS) collectively provides support for various elements used in Public Switched Telephone Networks, for example processing an order may require information on the services the customer already has, the network they are using, and currently available resources.

Responsibilities:
â¢ Participated in entire lifecycle of the projects including Design, Development, and Deployment, Testing and Implementation and support.
â¢ Developed views and templates with Python and Django's view controller and templating language to created user-friendly website interface.
â¢ Implemented navigation rules for the application and page outcomes, written controllers using annotations.
â¢ Created this project using Django, Django REST API, MYSQL, PyMYSQL, Python, HTML5, CSS3.
â¢ Created CRUD methods (get, post, put, delete) to make requests to the API server and tested Restful API
using Postman.
â¢ Created Unit test cases for unit testing.
â¢ Worked with JSON based REST Web services
â¢ Wrote Python routines to log into the websites and fetch data for selected options.
â¢ Used Python modules such as requests, urllib for web crawling.
â¢ Added the navigations and paginations and filtering columns and adding and removing the desired columns for view.
â¢ Created a Git repository and added the project to GitHub.
â¢ Utilized Agile process and JIRA issue management to track sprint cycles.
â¢ Worked in an agile development environment.

Environment: Python, Django, MySQL, HTML, CSS, SQLAlchemy, JSON, agile, Web Services (REST), Urllib.
company - Arsys
description - 1. Working as back end as well as front end developer
2. working on rest and restfull api's.
3. Design and develop a project in Agile scrum.
4. Git hub for code deployment
5. Working on MVT .",,,,,,
881,Resume,"SKILLS Bitcoin, Ethereum Solidity Hyperledger, Beginner Go, Beginner R3 Corda, Beginner Tendermint, Nodejs, C Programming, Java, Machine Learning specilaized in Brain Computer Interface, Computer Networking and Server Admin, Computer Vision, Data Analytics, Cloud Computing, Reactjs, angularEducation Details 
January 2014 to January 2018 Bachelor of Engineering Computer Science & Engineering  Thakur College of Engineering and Technology
September 2016 to March 2017  Dynamic Blood Bank System Mumbai, Maharashtra IIT
January 2014 CBSE   Senior Secondary
January 2011 CBSE Banking  VIDYASHRAM PUBLIC SCHOOL
Blockchain Developer 

Blockchain Developer - Zhypility Technologies
Skill Details 
NETWORKING- Exprience - 27 months
DATA ANALYTICS- Exprience - 11 months
COMPUTER VISION- Exprience - 6 months
JAVA- Exprience - 6 months
MACHINE LEARNING- Exprience - 6 monthsCompany Details 
company - Zhypility Technologies
description - une 2018
company - Area Business Owner Amway Enterprise Limited
description - Business Strategizing Promotion, Analytics and Networking Terms
company - Virtual
description - Developing Prototype of Smart India Hackthon to deployment level.
3.Networking And Switch Intern Bharti Airtel Private Limited (Mumbai)
company - 1.International Research Scholar- University Of Rome, Tor Vergata (Rome)
description - Nov 2017 - Nov 2017
Has done research on Reality Based Brain computer Interface and proposed paper in International Journal of Advanced Research (IJAR-20656) accepted paper by reviewer and Smart Kisan -Revolutionizing Country -IJSRD accepted for publication
company - 
description - under Reliance Jio (Mumbai) Dec 2017 - Jan 2017
company - Maharastra State Government Hackthon
description - 
company - Virtual
description - I was handling group of Interns in the marketing and sales team of nearby to promote on all social media platform the nearby products.
company - Promotion And Stock Marketing Drums Foods International
description - 
company - 8.Data Science And Web Analytics POSITRON INTERNET (Virtual)
description - 
company - 
description - I was making people aware about women equality rights and raise voice against violence through various modes of events and other sources of media to help the society.
company - IIT Bombay And IIT KGP Startup
description - 
company - IIT Bombay And IIT KGP Startup
description - ",,,,,,
693,Resume,"Skills Exceptional communication and networking skills Successful working in a team environment, as well as independently Ability to work under pressure and multi-task Strategies & Campaigns Corporate Communications MIS Reporting & Documentation Training & Development Sales Support & Back Office Operations New Process Development & Launch Handling customer escalationsEducation Details 
 BACHELOR OF BUSINESS ADMINISTRATION BUSINESS ADMINISTRATION  ICFAI Business School
    Integrated Institute Of Management &Technology
    HIGHER SECONDARY SCHOOL, B.I.S.S School
   Delhi, Delhi SENIOR SECONDARY SCHOOL, Delhi Public School
Senior Manager - PMO 


Skill Details 
TRAINING- Exprience - 30 months
DOCUMENTATION- Exprience - 16 months
OPERATIONS- Exprience - 16 months
SALES- Exprience - 8 months
CORPORATE COMMUNICATIONS- Exprience - 6 monthsCompany Details 
company - 
description - Review and understand existing business processes to identify functional requirements to eliminate
waste, improve controllership and deliver flexibility
Identify processes for re-design, prototype potential solutions, calculate trade-offs, costs, and suggest a
recommended course of action by identifying modifications to the new/existing process
Project Management of new requirements and opportunities for applying efficient and effective solutions
Responsible for delivering process reengineering projects across processes by closely working with the relevant businesses and operations units.
Responsible for documentation to train all stakeholders on any changes
company - 
description - Responsible for defining scope of project in accordance with the stakeholders, internal teams and senior
management team.
Prepare project charter with defined timelines for project related activities.
Preparation of Business Requirement Document (BRD), closing Understanding Document (UD) with development team, UAT completion and deployment.
Preparation of training documents, SLAs, SOPs etc. as required.
Conduct training for impacted teams to ensure smooth transition.
company - TELEPERFORMANCE INDIA
description - Driving sales through call center and achieve target with overall responsibility of exploring selling opportunities by understanding customer preferences and requirements.
Conceptualizing and implementing sales promotional activities as a part of pilot batch for new company launch.
Training new joiners through the process of call barging.
Interaction with client to understand requirements and expectations.
Handling call quality sessions with the client.
Handling adhoc requirements from client as well as senior management and delivering timely resolution for the same.
MASTER OF BUSINESS ADMINISTRATION",,,,,,
